,Count
HLA-A_02,9131
HLA-A_02:01,6058
HLA-B_07:02,708
HLA-B_18,8
HLA-A_02:01:59,5
HLA-A_02:01:48,29
HLA-DRA_01:02:03,7
HLA-B_08:01:29,4
HLA-A_02:256,1
HLA-B_35:08:01,6
HLA-E_01:01:01:03,1
HLA-DRA_01:01:02,3
HLA-B_35:42:01,5
HLA-B_57:06,1
HLA-B_44:05:01,3
HLA-A_02:01:98,2
HLA-A_24:02:84,3
HLA-B_27:05:31,2
HLA-DQA1_03:01:01,4
HLA-B_51:193,1
HLA-DQA1_05:01:01:02,4
HLA-A_02:01:110,1
HLA-DRA_01,758
HLA-B_42:01,336
HLA-B_51:01,28
HLA-B_35:01,192
HLA-B_08,359
HLA-A_03:01,14442
HLA-A_11:01,2912
HLA-A_24:02,226
HLA-B_08:01,1652
HLA-A_01:01,471
HLA-B_57:01,267
HLA-B_07,27
HLA-B_81:01,40
HLA-B_35:08,47
HLA-B_35,10
HLA-B_44:03:08,69
HLA-B_27,276
HLA-B_44:05,1
HLA-B_58,2
HLA-B_42,6
HLA-B_53,9
HLA-DRA_01:01,604
HLA-B_27:05,349
HLA-A_11,28
HLA-B_12,1
HLA-A_03,48
HLA-B_57,58
HLA-A_01,66
HLA-B_15,31
